Date,CPI
01/11/2021,157946215.1
01/12/2021,181890861.3
01/01/2022,191861414.4
01/02/2022,205506570.7
01/03/2022,232330522
01/04/2022,244104118.8
01/05/2022,260293905.4
01/06/2022,285128521.7
01/07/2022,299982024.5
01/08/2022,309910551.8
01/09/2022,319468706.4
01/10/2022,330382387.1
01/11/2022,338573192.2
01/12/2022,353792003.1
01/01/2023,363059656.8
01/02/2023,379940045.1
01/03/2023,388638695.7
01/04/2023,409229029.9
01/05/2023,424041258.3
01/06/2023,472557930.4
01/07/2023,519349383.3
01/08/2023,561648314.2
01/09/2023,580000176.8
01/10/2023,591136118.2
01/11/2023,617291415.1
01/12/2023,650872434.8
01/01/2024,675842503.6
01/02/2024,706877192
01/03/2024,755708177.3
01/04/2024,800449103
01/05/2024,828453740.2
01/06/2024,865563739.8
01/07/2024,895944190.9
01/08/2024,925333028.4
01/09/2024,948697241.4
01/10/2024,979233797.2
01/11/2024,986871820.8
01/12/2024,997727410.8
01/01/2025,1017881504
01/02/2025,1039867745
01/03/2025,1084358758
01/04/2025,1128356356
